id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
201256,3,64190,'room_booking_item',69674,'receipt',None,None,None,5561,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074016,None
201257,3,64190,'room_booking_item',69674,'receipt',None,None,None,6764,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074017,None
201258,3,64190,'room_booking_item',69674,'receipt',None,None,None,5561,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074018,None
201259,3,64190,'room_booking_item',69674,'payment',None,None,None,29008,27,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074019,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201260,3,64191,'room_booking_item',69675,'receipt',None,None,None,6900,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074970,None
201261,3,64191,'room_booking_item',69675,'payment',None,None,None,100,27,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074971,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201262,3,64191,'room_booking_item',69675,'payment',None,None,None,6800,26,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074972,'{'id': 26, 'name': '事前入金分（ポイント)', 'hotelId': 3}'
201263,3,64192,'room_booking_item',69676,'receipt',None,None,None,6400,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23075394,None
201264,3,64192,'room_booking_item',69676,'receipt',None,None,None,6400,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23075395,None
201265,3,64192,'room_booking_item',69676,'receipt',None,None,None,6400,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23075396,None
