id,hotelId,bookingType,bookingId,otherTaxPercentage,roomBookingReceiptId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
64248,3,'room_booking',64243,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920842
64249,3,'room_booking',64244,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5921121
65450,3,'room_booking',65445,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6204519
65451,3,'room_booking',65446,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6204521
65452,3,'room_booking',65447,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6205093
65453,3,'room_booking',65448,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6206496
65454,3,'room_booking',65449,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6208544
65455,3,'room_booking',65450,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6209491
65456,3,'room_booking',65451,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6209805
65457,3,'room_booking',65452,None,None,'2023-02-28 10:22:58.690853+09:00','2023-02-28 10:22:58.690853+09:00',None,None,None,None,6209809
