id,hotelId,marketingChannelId,representativeGuestId,isReserverTheRepresentative,reserverGuestId,isMultiReservation,memo,isDailyClosing,isMonthlyClosing,otaReservationName,roomTypeGroupCode,planGroupCode,otaPlanCode,otaRoomTypeCode,otaReservationNumber,isNoLinkageSetting,tllDataId,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isHaveErrorPrice
64207,3,90,49571,False,49848,True,'jvlp',False,False,None,None,None,None,None,'RYa0fftdsz@0000000061',False,None,'0003000083','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914500,False
64208,3,90,48325,True,48325,True,'gfvb',False,False,None,None,None,None,None,'RYa0fftezf@0000000061',False,None,'0003000084','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914504,False
64209,3,90,48512,False,50249,True,'bxoq',False,False,None,None,None,None,None,'RYa0fftfyw@0000000061',False,None,'0003000085','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914620,False
64210,3,93,46874,False,46137,True,'yxcA',False,False,None,None,None,None,None,'2889115663@0000000030',False,None,'0003000086','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914621,False
64211,3,90,49549,True,49549,True,'jqsb',False,False,None,None,None,None,None,'RYa0ffth66@0000000061',False,None,'0003000087','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914728,False
64212,3,93,47716,False,46081,True,'etks',False,False,None,None,None,None,None,'2538377815@0000000030',False,None,'0003000088','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914730,False
64213,3,93,47716,False,46081,True,'mueb',False,False,None,None,None,None,None,'2703506494@0000000030',False,None,'0003000089','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914737,False
64214,3,93,47716,False,46081,True,'vy m',False,False,None,None,None,None,None,'2655188187@0000000030',False,None,'0003000090','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914843,False
64215,3,90,48154,True,48154,False,'ufyb',False,False,None,None,None,None,None,'RYa0fftiv4@0000000061',False,None,'0003000091','2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914850,False
64216,3,90,48862,False,50514,True,'vwe ',False,False,None,None,None,None,None,'RYa0fftk3y@0000000061',False,None,'0003000092','2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914856,False
64217,3,90,49549,True,49549,True,'Avet',False,False,None,None,None,None,None,'RYa0fftmmx@0000000061',False,None,'0003000093','2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914947,False
64218,3,93,46457,True,46457,True,'mcrn',False,False,None,None,None,None,None,'2770286427@0000000030',False,None,'0003000094','2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5915793,False
64219,3,93,45821,True,45821,True,'qmZw',False,False,None,None,None,None,None,'2889116822@0000000030',False,None,'0003000095','2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5916063,False
